clip,bone,present,minBoneY,maxBoneY
SlideHipHopDance,LeftLittleIntermediate,False,Infinity,-Infinity
SlideHipHopDance,LeftLittleDistal,False,Infinity,-Infinity
SlideHipHopDance,RightThumbProximal,False,Infinity,-Infinity
SlideHipHopDance,RightThumbIntermediate,False,Infinity,-Infinity
SlideHipHopDance,RightThumbDistal,False,Infinity,-Infinity
SlideHipHopDance,RightIndexProximal,True,0.17298919,0.312393636
SlideHipHopDance,RightIndexIntermediate,True,0.168254375,0.309772849
SlideHipHopDance,RightIndexDistal,True,0.160731256,0.305870056
SlideHipHopDance,RightMiddleProximal,False,Infinity,-Infinity
SlideHipHopDance,RightMiddleIntermediate,False,Infinity,-Infinity
SlideHipHopDance,RightMiddleDistal,False,Infinity,-Infinity
SlideHipHopDance,RightRingProximal,False,Infinity,-Infinity
SlideHipHopDance,RightRingIntermediate,False,Infinity,-Infinity
SlideHipHopDance,RightRingDistal,False,Infinity,-Infinity
SlideHipHopDance,RightLittleProximal,False,Infinity,-Infinity
SlideHipHopDance,RightLittleIntermediate,False,Infinity,-Infinity
SlideHipHopDance,RightLittleDistal,False,Infinity,-Infinity
SlideHipHopDance,UpperChest,True,0.33353278,0.367139667
SnakeHipHopDance,Hips,True,0.1606491,0.224153057
SnakeHipHopDance,LeftUpperLeg,True,0.109060481,0.198290542
SnakeHipHopDance,RightUpperLeg,True,0.133691758,0.210746169
SnakeHipHopDance,LeftLowerLeg,True,0.04486682,0.106658481
SnakeHipHopDance,RightLowerLeg,True,0.0585099868,0.121161
SnakeHipHopDance,LeftFoot,True,0.006123723,0.0595432334
SnakeHipHopDance,RightFoot,True,0.0173534323,0.0733381957
SnakeHipHopDance,Spine,True,0.1942761,0.2657472
SnakeHipHopDance,Chest,True,0.2281962,0.317220181
SnakeHipHopDance,Neck,True,0.2920773,0.428575575
SnakeHipHopDance,Head,True,0.3166239,0.456455976
SnakeHipHopDance,LeftShoulder,True,0.2808652,0.4340961
SnakeHipHopDance,RightShoulder,True,0.287491322,0.412990034
SnakeHipHopDance,LeftUpperArm,True,0.290528536,0.454769254
SnakeHipHopDance,RightUpperArm,True,0.27388525,0.40551722
SnakeHipHopDance,LeftLowerArm,True,0.233589932,0.5349169
SnakeHipHopDance,RightLowerArm,True,0.2108661,0.464457333
SnakeHipHopDance,LeftHand,True,0.181562185,0.605507255
SnakeHipHopDance,RightHand,True,0.134807974,0.539951563
SnakeHipHopDance,LeftToes,True,-0.04416306,0.007379025
SnakeHipHopDance,RightToes,True,-0.0301694945,0.0224410333
SnakeHipHopDance,LeftEye,False,Infinity,-Infinity
SnakeHipHopDance,RightEye,False,Infinity,-Infinity
SnakeHipHopDance,Jaw,False,Infinity,-Infinity
SnakeHipHopDance,LeftThumbProximal,False,Infinity,-Infinity
SnakeHipHopDance,LeftThumbIntermediate,False,Infinity,-Infinity
SnakeHipHopDance,LeftThumbDistal,False,Infinity,-Infinity
SnakeHipHopDance,LeftIndexProximal,True,0.1442738,0.658052444
SnakeHipHopDance,LeftIndexIntermediate,True,0.140580282,0.662856
SnakeHipHopDance,LeftIndexDistal,True,0.13493441,0.6700901
SnakeHipHopDance,LeftMiddleProximal,False,Infinity,-Infinity
SnakeHipHopDance,LeftMiddleIntermediate,False,Infinity,-Infinity
SnakeHipHopDance,LeftMiddleDistal,False,Infinity,-Infinity
SnakeHipHopDance,LeftRingProximal,False,Infinity,-Infinity
SnakeHipHopDance,LeftRingIntermediate,False,Infinity,-Infinity
SnakeHipHopDance,LeftRingDistal,False,Infinity,-Infinity
SnakeHipHopDance,LeftLittleProximal,False,Infinity,-Infinity
